date,views,likes,comments
2024-05-03,14387,1033,10
2024-05-03,17519,2418,182
2024-05-03,27313,424,13
2024-05-04,16230,927,14
2024-05-04,6601,604,14
2024-05-04,8261,501,6
2024-05-05,73530,515,18
2024-05-05,125228,1662,448
2024-05-05,281322,3171,790
2024-05-06,27240,287,2
2024-05-06,35875,425,7
2024-05-06,69129,836,924
2024-05-07,353613,4451,2747
2024-05-07,207523,3512,872
2024-05-07,163542,1619,1268
2024-05-08,5002,476,49
2024-05-08,33294,2944,1564
2024-05-08,41513,557,256
2024-05-09,43319,603,235
2024-05-09,58368,762,52
2024-05-09,226178,2814,2482
2024-05-10,442666,12996,8851
2024-05-10,127392,1268,473
2024-05-10,36260,870,46
2024-05-10,12482,52,7
2024-05-11,17908,496,239
2024-05-11,155339,789,40
2024-05-12,16506,481,47
2024-05-12,22878,647,23
2024-05-12,82281,6040,1481
2024-05-13,37855,463,4
2024-05-13,214448,3799,770
2024-05-13,331598,4564,2441
2024-05-14,464708,11947,1025
2024-05-14,294100,3846,894
2024-05-14,64972,1181,350
2024-05-15,101646,1343,175
2024-05-15,158918,3372,623
2024-05-15,66829,1120,338
2024-05-16,245412,5656,1939
2024-05-16,447769,3866,1581
2024-05-16,1246003,11319,6263
2024-05-17,49499,594,169
2024-05-17,67409,1292,250
2024-05-17,207829,10625,129
2024-05-18,67572,720,308
2024-05-18,382712,6289,727
2024-05-18,157672,1693,175
2024-05-19,1634839,30524,2297
2024-05-19,1828386,17026,1909
2024-05-19,2365523,22690,8882
2024-05-19,1593213,27339,1917
2024-05-20,2125317,20998,4659
2024-05-20,3414194,26247,3638
2024-05-21,2566884,80612,1578
2024-05-21,1789834,11365,1725
2024-05-21,2471532,42400,71
2024-05-22,1982244,67551,3662
2024-05-22,2087889,196641,12254
2024-05-22,1596963,65389,1226
2024-05-23,4614812,312097,4211
2024-05-23,1415122,115084,559
2024-05-23,1384238,25859,942
2024-05-23,1741001,55535,217
2024-05-24,1854927,132197,652
2024-05-24,2590025,129242,1080
2024-05-25,1012370,14921,750
2024-05-25,773664,49539,1224
2024-05-25,895130,55182,549
2024-05-26,281087,22254,287
2024-05-26,328965,2157,352
2024-05-26,565041,40479,574
2024-05-26,395605,2402,6
2024-05-27,423722,1926,0
2024-05-27,688381,10461,295
2024-05-28,481167,17941,752
2024-05-28,517375,0,124
2024-05-28,1569312,28276,345
2024-05-29,374876,877,2
2024-05-29,338374,6058,93
2024-05-29,108632,0,66
2024-05-30,143797,389,0
2024-05-30,161428,2549,58
2024-05-30,367691,34,0
2024-05-31,84117,9,1
2024-05-31,94105,312,0
2024-05-31,29499,162,0
2024-05-31,94105,312,0
2024-06-01,53393,252,0
2024-06-01,53393,252,0
