date,id,views,likes,comments
2024-06-01T00:34:55Z,gey_uNmUxZg,3,0,0
2024-05-30T20:56:22Z,tpFNaionnlM,1970,84,17
2024-05-30T19:27:03Z,E_gplMsRKAA,1020,101,34
2024-05-31T16:10:22Z,s6kSdlzmbpQ,2,0,0
2024-05-30T13:23:34Z,5ZO_OTzPeWQ,5213,208,51
2024-05-30T06:51:44Z,Gz2vXSun5JI,2344,48,2
2024-05-29T22:59:21Z,1A_bG18iTts,1039,107,24
2024-05-29T09:37:58Z,JeM7iYtF_j4,23646,894,13
2024-05-28T22:24:28Z,6DD7PaWP8Co,8629,91,90
2024-05-29T04:40:54Z,7rru1OUJHtI,3496,24,37
2024-05-27T22:30:02Z,Xh4I_-uf1CA,175401,1261,61
2024-05-28T13:37:54Z,ZSyNNZgIjTY,23599,110,36
2024-05-28T07:57:19Z,b0txnJaKD5c,14676,127,140
2024-05-27T06:42:14Z,JCmm6LPTeqk,16359,108,51
2024-05-27T14:04:13Z,dz9aG0KpJgQ,10121,113,0
2024-05-27T14:59:41Z,pO5oXPoLgDs,7008,405,42
2024-05-26T04:34:53Z,ts-fqqp502o,4521,159,30
2024-05-26T12:35:48Z,XwMcf9pVyJQ,1591,7,0
2024-05-25T19:04:31Z,L_ono1YIsTU,799,85,15
2024-05-25T10:21:11Z,O2U0QvmiBsI,350344,2239,52
2024-05-25T15:29:16Z,Sos4ylued_A,49513,470,7
2024-05-25T02:26:23Z,gJnvHfwooFQ,40392,443,7
2024-05-24T12:06:21Z,c6GMM7OsWXw,631690,2683,68
2024-05-24T12:55:16Z,gLKRjOpjqOA,76236,769,284
2024-05-24T15:28:11Z,Sy1o53PGdKg,48424,534,14
2024-05-23T07:31:08Z,DJbOQj2mdIE,308729,2663,282
2024-05-23T10:10:38Z,A5KA4_kysSY,38248,1684,46
2024-05-23T11:00:39Z,f-4jVvgl9vU,32374,223,287
2024-05-22T14:02:40Z,0q9uwHzFBeQ,148557,3461,536
2024-05-22T10:01:09Z,1voARD8RSZ4,78590,568,0
2024-05-22T06:15:56Z,K8Yl_BzYt7M,41488,140,1
2024-05-21T12:07:59Z,bbXFcYJcB44,589100,2524,112
2024-05-21T16:39:56Z,M8Ymv65ry40,160248,1390,103
2024-05-21T16:04:02Z,zF3oCGeDmnY,25446,179,71
2024-05-20T12:19:12Z,GWXS6rTbQZs,572879,2822,199
2024-05-20T11:36:19Z,eHBpD7cuNB4,213737,16300,3234
2024-05-20T06:27:51Z,FJOUiQ7hWfA,19325,147,95
2024-05-19T10:19:44Z,Xf0zWgIosO4,288851,1913,73
2024-05-19T11:50:16Z,hlr9uE3G_GQ,155538,14815,2060
2024-05-19T11:21:10Z,xHYz4I597ec,61309,346,155
2024-05-17T23:21:31Z,LKFjVa1jxsQ,36490,526,321
2024-05-18T16:56:35Z,l-oUHJz1w7M,10282,0,6
2024-05-18T14:18:15Z,jQ5cQOXB0d0,6930,33,4
2024-05-16T21:15:22Z,OLD3JIWqr6w,713543,36980,6957
2024-05-17T13:38:02Z,3CuqH4dX4Y0,552449,2790,236
2024-05-17T12:09:09Z,qLFEulwO8pM,492875,2252,72
2024-05-16T12:00:24Z,HML9ewmV00Y,28362,977,124
2024-05-16T14:15:40Z,HEZlM_KLx4Q,10796,91,3
2024-05-16T11:15:25Z,Gx9_DrdAwgo,4205,351,87
2024-05-15T08:22:17Z,koxuD1r7u2U,159306,3764,482
2024-05-15T01:57:22Z,-b_Fxch2umI,38024,1037,698
2024-05-14T19:41:35Z,n8y0lyRc5b0,20196,239,135
2024-05-14T14:47:16Z,YGk6_w1Bv6A,244361,21270,3518
2024-05-13T19:14:38Z,Z91byA178tc,148100,10080,2317
2024-05-14T07:30:06Z,UujgvrI0mXs,55769,817,162
2024-05-13T12:09:26Z,XXGcv84GKkc,388138,2343,78
2024-05-13T07:30:01Z,7a4bVSEvwF4,152430,2165,374
2024-05-13T07:33:01Z,oxb8m5Bx260,26253,0,10
2024-05-11T21:22:53Z,FvjfAIv-8cc,63247,1229,0
2024-05-12T15:27:05Z,STKSivqNPP4,61361,617,15
2024-05-12T09:37:33Z,ragJCwi4Pss,12704,505,10
2024-05-11T15:20:00Z,n-A6ehBSdFA,114837,1115,187
2024-05-10T22:39:53Z,OGUgQo2h68o,64763,5938,616
2024-05-11T10:16:19Z,0HFRC865R58,34111,309,1
2024-05-10T09:07:39Z,3fGASoBgrVg,29481,233,0
2024-05-10T11:31:09Z,--RRmCv9f-8,27048,76,9
2024-05-10T05:23:32Z,hdcAtbPsBwI,4769,46,0
2024-05-09T14:41:36Z,di3-NHHxpCo,3400132,139275,11336
2024-05-09T16:24:07Z,XxMfl29Zj7o,148487,4516,1973
2024-05-09T05:45:01Z,oeP4aC2usp0,145799,904,174
2024-05-08T07:15:12Z,ol4ixG78dw4,391528,9406,2244
2024-05-08T14:30:12Z,cKBs_8CAnS4,100449,2321,3435
2024-05-08T03:09:42Z,-4VPFF4BK4k,20875,83,80
2024-05-06T20:36:29Z,mWg4pUI3yN8,5687,184,59
2024-05-07T05:27:32Z,5zMzuNUByOQ,1961,29,3
2024-05-07T00:44:44Z,pqF8Mzxd9Yo,580,20,5
2024-05-06T12:10:14Z,KZPUkav3_Rk,497259,2806,73
2024-05-06T15:25:21Z,X_t3TySQ9iY,12080,173,14
2024-05-06T15:00:22Z,GpGuPbUE4Ls,6342,233,40
2024-05-05T02:30:14Z,VXbfV201XNU,1508621,0,2473
2024-05-05T10:28:12Z,boqKzpftNSI,391671,33347,6871
2024-05-05T16:15:06Z,WPJfXh-Kx2c,194074,9564,3149
2024-05-04T04:00:02Z,5LfKbPlE3bE,6454,345,65
2024-05-04T12:00:01Z,12_PkJyOT8w,3849,43,8
