date,palistine,stock market latest,japan earthquake,covid-19 update,celebrity news
2024-04-26,12,0,25,0,83
2024-04-27,11,0,47,0,87
2024-04-28,11,0,49,0,91
2024-04-29,14,4,17,0,87
2024-04-30,17,5,21,0,89
2024-05-01,25,4,24,0,90
2024-05-02,27,0,20,0,84
2024-05-03,14,0,15,0,91
2024-05-04,12,0,14,0,92
2024-05-05,11,0,14,0,85
2024-05-06,13,0,19,0,93
2024-05-07,15,4,17,0,84
2024-05-08,10,3,18,0,93
2024-05-09,16,4,19,0,87
2024-05-10,17,0,13,0,90
2024-05-11,19,0,12,0,83
2024-05-12,16,1,14,0,100
2024-05-13,14,3,16,0,90
2024-05-14,13,3,16,1,91
2024-05-15,12,3,17,0,87
2024-05-16,12,3,17,1,92
2024-05-17,10,3,13,0,92
2024-05-18,10,2,15,0,96
2024-05-19,10,2,11,0,96
2024-05-20,9,3,13,1,94
2024-05-21,9,3,15,1,91
2024-05-22,13,3,13,1,93
2024-05-23,11,3,14,1,91
2024-05-24,9,2,13,1,93
2024-05-25,7,1,39,0,85
2024-05-26,9,2,43,0,84
