date,palistine,stock market latest,japan earthquake,covid-19 update,celebrity news,latest football game england,tesla news,2024 election,fire australia,iren president
2024-02-23,1,1,4,0,19,0,0,11,0,0
2024-02-24,2,0,4,0,19,0,0,13,0,0
2024-02-25,1,0,3,0,18,0,0,14,0,0
2024-02-26,3,2,5,0,18,0,1,12,0,0
2024-02-27,3,1,4,0,17,0,1,26,0,0
2024-02-28,2,1,4,0,18,0,0,15,0,0
2024-02-29,2,1,11,0,18,0,1,12,0,0
2024-03-01,3,0,9,0,19,0,0,12,0,0
2024-03-02,2,0,6,0,19,0,0,15,0,0
2024-03-03,1,0,5,0,19,0,0,15,0,0
2024-03-04,2,0,6,0,20,0,1,16,0,0
2024-03-05,2,0,5,0,19,0,1,23,0,0
2024-03-06,2,1,4,0,18,0,1,38,0,0
2024-03-07,2,1,5,0,19,0,1,17,0,0
2024-03-08,2,0,5,0,18,0,1,14,0,0
2024-03-09,2,0,3,0,21,0,0,13,0,0
2024-03-10,2,0,3,0,20,0,0,13,0,0
2024-03-11,2,0,7,0,17,0,1,14,0,0
2024-03-12,2,1,6,0,19,0,0,15,0,0
2024-03-13,2,0,6,0,19,0,1,17,0,0
2024-03-14,2,1,14,0,20,0,1,17,0,0
2024-03-15,2,0,10,0,18,0,1,18,0,0
2024-03-16,2,0,6,0,18,0,0,100,0,0
2024-03-17,2,0,6,0,20,0,0,35,0,0
2024-03-18,2,1,6,0,18,0,1,27,0,0
2024-03-19,2,0,5,0,19,0,1,21,0,0
2024-03-20,2,1,6,0,18,0,1,22,0,0
2024-03-21,2,1,41,0,18,0,1,16,0,0
2024-03-22,2,1,17,0,18,0,1,14,0,0
2024-03-23,1,0,5,0,18,0,0,14,0,0
2024-03-24,2,0,5,0,21,0,0,17,0,0
2024-03-25,3,1,6,0,18,0,1,15,0,0
2024-03-26,2,1,5,0,19,0,1,15,0,0
2024-03-27,1,0,5,0,18,0,1,17,0,0
2024-03-28,2,0,4,0,19,0,0,16,0,0
2024-03-29,1,0,4,0,18,0,0,14,0,0
2024-03-30,2,0,3,0,19,0,0,13,0,0
2024-03-31,2,0,3,0,20,0,0,15,0,0
2024-04-01,2,0,6,0,18,0,1,19,0,0
2024-04-02,1,1,8,0,16,0,1,21,0,0
2024-04-03,2,1,100,0,19,0,1,23,0,0
2024-04-04,2,1,50,0,20,0,1,19,0,0
2024-04-05,3,0,39,0,20,0,1,17,0,0
2024-04-06,2,0,20,0,19,0,1,18,0,0
2024-04-07,2,0,9,0,18,0,0,18,0,0
2024-04-08,2,0,13,0,20,0,1,19,0,0
2024-04-09,2,0,6,0,21,0,1,17,0,0
2024-04-10,2,0,4,0,19,0,1,19,0,0
2024-04-11,2,0,5,0,21,0,1,18,0,0
2024-04-12,2,1,4,0,20,0,1,20,0,0
2024-04-13,2,0,4,0,24,0,0,19,0,0
2024-04-14,4,1,3,0,20,0,0,19,0,0
2024-04-15,2,0,5,0,18,0,1,27,0,0
2024-04-16,2,1,4,0,20,0,1,29,0,0
2024-04-17,2,0,38,0,19,0,1,31,0,0
2024-04-18,2,1,43,0,19,0,1,44,0,0
2024-04-19,2,1,13,0,18,0,1,81,0,0
2024-04-20,2,0,4,0,18,0,1,37,0,0
2024-04-21,1,0,4,0,21,0,0,30,0,0
2024-04-22,1,1,6,0,21,0,1,32,0,0
2024-04-23,2,0,6,1,19,0,1,28,0,0
2024-04-24,3,0,10,0,17,0,1,31,0,0
2024-04-25,3,0,5,0,19,0,1,38,0,0
2024-04-26,3,1,5,0,18,0,1,61,0,0
2024-04-27,2,0,10,0,19,0,0,29,0,0
2024-04-28,3,1,11,0,20,0,0,25,0,0
2024-04-29,3,0,5,0,19,0,1,27,0,0
2024-04-30,4,1,5,0,20,0,1,23,0,0
2024-05-01,5,1,6,0,19,0,1,23,0,0
2024-05-02,6,0,4,0,19,0,1,28,0,0
2024-05-03,3,0,3,0,20,0,1,50,0,0
2024-05-04,3,0,3,0,20,0,0,39,0,0
2024-05-05,2,0,3,0,19,0,0,29,0,0
2024-05-06,3,0,4,0,20,0,1,30,0,0
2024-05-07,5,1,4,0,19,0,1,49,0,0
2024-05-08,2,0,4,0,21,0,1,29,0,0
2024-05-09,3,1,4,0,20,0,1,25,0,0
2024-05-10,4,1,3,0,21,0,1,26,0,0
2024-05-11,4,0,3,0,19,0,0,27,0,0
2024-05-12,4,0,3,0,20,0,0,29,0,0
2024-05-13,3,1,4,0,20,0,1,48,0,0
2024-05-14,3,1,4,0,20,0,1,29,0,0
2024-05-15,3,1,4,0,20,0,1,26,0,0
2024-05-16,3,1,4,0,21,0,1,22,0,0
2024-05-17,2,1,3,0,21,0,1,21,0,0
2024-05-18,2,0,3,0,21,0,0,22,0,0
2024-05-19,2,0,2,0,21,0,0,24,0,0
2024-05-20,2,1,3,0,21,0,1,39,0,0
2024-05-21,2,1,3,0,20,0,1,25,0,0
2024-05-22,3,1,3,0,20,0,1,32,0,0
2024-05-23,2,1,3,0,19,0,0,27,0,0
